OBJECTID,POPCHANGE,PCTCHANGE,EMPCHANGE,EMPPCTCHANGE,EMPDEN2045,EMPDENCHANGE,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
119,3.84918547,3.84918549,3e-08,5.03268323,5.03268323,0,MoveDC_Pop_Emp_ForecastsPly_223,{BE1FED00-8985-43E5-BDF1-1E54DB0C2887},,,,,0,0
120,72.18417358,86.94387364,14.75970006,9.54413467,12.08095857,2.5368239,MoveDC_Pop_Emp_ForecastsPly_38,{D8CAC1FF-4939-4BA9-919F-7109A4AEF970},,,,,0,0
121,6.39258814,7.4095908,1.01700266,11.98004918,12.46433616,0.48428698,MoveDC_Pop_Emp_ForecastsPly_222,{F325F93D-DC75-4F36-AE44-D29D52968E3F},,,,,0,0
122,19.7286377,24.59133009,4.86269239,3.08301313,11.35951406,8.27650093,MoveDC_Pop_Emp_ForecastsPly_55,{4FE6AB05-9CED-4C48-8162-5FA2C643D074},,,,,0,0
123,57.46836472,69.83906399,12.37069927,6.60078397,7.95479094,1.35400697,MoveDC_Pop_Emp_ForecastsPly_232,{9E26967F-9F71-486A-9378-2737297086A4},,,,,0,0
124,14.58827209,15.31636944,0.72809734,68.48504938,68.52013842,0.03508905,MoveDC_Pop_Emp_ForecastsPly_237,{75FFDC78-4472-48E6-A5B8-D1DBD329A623},,,,,0,0
125,2.38894463,2.71104962,0.32210499,1.10819426,1.10819426,0,MoveDC_Pop_Emp_ForecastsPly_215,{D913A5E6-D46E-4EE1-926D-AC77B90E9535},,,,,0,0
126,15.35503769,20.55931656,5.20427887,1.24064841,6.50937609,5.26872768,MoveDC_Pop_Emp_ForecastsPly_348,{B75BBB76-BEC5-4701-A7DE-BA145696CC06},,,,,0,0
127,79.18849945,107.51506555,28.3265661,4.99386917,15.77894795,10.78507879,MoveDC_Pop_Emp_ForecastsPly_46,{7C79B1E4-69D7-45F5-955C-0DD3FFA81F42},,,,,0,0
128,121.31532288,149.82904117,28.51371829,10.08540859,14.46807305,4.38266446,MoveDC_Pop_Emp_ForecastsPly_42,{B62CB1D7-F631-4D2E-ADA5-71B97A23E83D},,,,,0,0
129,7.55062342,8.56695814,1.01633472,8.10588921,8.42814169,0.32225248,MoveDC_Pop_Emp_ForecastsPly_350,{FA63103B-374E-4839-8EC0-8A37BEBD5FDE},,,,,0,0
130,19.37751579,21.28877373,1.91125793,0.61185513,0.7064719,0.09461677,MoveDC_Pop_Emp_ForecastsPly_57,{8FFA3A72-7C3B-434C-9980-C34A99C8F255},,,,,0,0
131,78.1029892,99.24732526,21.14433606,40.64563301,41.44759208,0.80195907,MoveDC_Pop_Emp_ForecastsPly_36,{23B5873F-D363-4309-98E3-5153C91B9A40},,,,,0,0
132,49.10667038,60.70906704,11.60239666,3.28090448,3.64270848,0.361804,MoveDC_Pop_Emp_ForecastsPly_21,{1A2FE8EC-34F4-436E-BE11-FC91A030C40D},,,,,0,0
133,42.2979393,98.76569052,56.46775122,15.09711099,30.14541666,15.04830567,MoveDC_Pop_Emp_ForecastsPly_54,{BD3EE2BE-E411-457B-BD82-BC6121E613C6},,,,,0,0
134,15.11062145,49.65772842,34.54710697,5.28273707,20.13420542,14.85146836,MoveDC_Pop_Emp_ForecastsPly_347,{8AC7CBBD-8F43-48E2-9476-132257DF1817},,,,,0,0
